Team,Nationality,Position,Age,Potential,Name
FC Barcelona ,Argentina,Segundo Delantero | Delantero Centro | Extremo Derecho,33,Sobresaliente,Lionel Messi
Juventus ,Portugal,Segundo Delantero | Extremo Izquierdo,35,Sobresaliente,Cristiano Ronaldo
Paris Saint-Germain ,Brazil,Centrocampista Ofensivo Central | Extremo Izquierdo,28,Sobresaliente,Neymar Jr
Liverpool ,Netherlands,Defensor Central,29,Sobresaliente,Virgil van Dijk
Atlético Madrid ,Slovenia,Arquero,27,Sobresaliente,Jan Oblak
Manchester City ,Belgium,Mediocampista Central | Centrocampista Ofensivo Central,29,Sobresaliente,Kevin De Bruyne
FC Bayern München ,Poland,Segundo Delantero,31,Sobresaliente,Robert Lewandowski
Real Madrid ,Belgium,Segundo Delantero | Extremo Izquierdo,29,Sobresaliente,Eden Hazard
Liverpool ,Brazil,Arquero,27,Sobresaliente,Alisson
Liverpool ,Egypt,Segundo Delantero | Extremo Derecho,28,Sobresaliente,Mohamed Salah
Liverpool ,Senegal,Extremo Izquierdo,28,Sobresaliente,Sadio Mané
FC Barcelona ,Germany,Arquero,28,Sobresaliente,Marc-André ter Stegen
Manchester City ,Argentina,Segundo Delantero,32,Sobresaliente,Sergio Agüero
Paris Saint-Germain ,France,Segundo Delantero | Extremo Derecho | Extremo Izquierdo,21,Sobresaliente,Kylian Mbappé
Chelsea ,France,Mediocampista Defensivo Central | Mediocampista Central,29,Muy Bueno,N'Golo Kanté
Tottenham Hotspur ,England,Segundo Delantero,27,Sobresaliente,Harry Kane
FC Barcelona ,France,Segundo Delantero | Delantero Centro | Extremo Izquierdo,29,Muy Bueno,Antoine Griezmann
Real Madrid ,Germany,Mediocampista Central,30,Muy Bueno,Toni Kroos
Real Madrid ,Croatia,Mediocampista Central,34,Muy Bueno,Luka Modric
FC Barcelona ,Uruguay,Segundo Delantero,33,Muy Bueno,Luis Suárez
FC Bayern München ,Germany,Arquero,34,Muy Bueno,Manuel Neuer
Real Madrid ,Spain,Defensor Central,34,Muy Bueno,Sergio Ramos
Manchester City ,Brazil,Arquero,26,Sobresaliente,Ederson
Manchester City ,England,Extremo Derecho | Extremo Izquierdo,25,Sobresaliente,Raheem Sterling
Liverpool ,Brazil,Delantero Centro,28,Muy Bueno,Roberto Firmino
Napoli ,Senegal,Defensor Central,29,Sobresaliente,Kalidou Koulibaly
Real Madrid ,Brazil,Mediocampista Defensivo Central,28,Muy Bueno,Casemiro
Manchester United ,Spain,Arquero,29,Muy Bueno,De Gea
Real Madrid ,Belgium,Arquero,28,Muy Bueno,Thibaut Courtois
FC Barcelona ,Spain,Mediocampista Defensivo Central,32,Muy Bueno,Sergio Busquets
Arsenal ,Gabon,Segundo Delantero | Mediocampista Izquierdo,31,Muy Bueno,Pierre-Emerick Aubameyang
Real Madrid ,France,Segundo Delantero | Delantero Centro,32,Muy Bueno,Karim Benzema
Inter ,Slovenia,Arquero,36,Muy Bueno,Samir Handanovic
FC Barcelona ,Spain,Defensor Central,33,Muy Bueno,Piqué
Juventus ,Italy,Defensor Central,35,Muy Bueno,Giorgio Chiellini
Manchester City ,Portugal,Mediocampista Central | Centrocampista Ofensivo Central | Extremo Derecho,25,Sobresaliente,Bernardo Silva
FC Bayern München ,Germany,Defensor Lateral Derecho | Mediocampista Defensivo Central | Mediocampista Central,25,Sobresaliente,Joshua Kimmich
Manchester City ,France,Defensor Central,26,Sobresaliente,Aymeric Laporte
Juventus ,Argentina,Centrocampista Ofensivo Central | Delantero Centro,26,Sobresaliente,Paulo Dybala
Tottenham Hotspur ,Korea Republic,Mediocampista Izquierdo | Delantero Centro,28,Muy Bueno,Heung Min Son
Paris Saint-Germain ,Italy,Mediocampista Defensivo Central | Mediocampista Central,27,Muy Bueno,Marco Verratti
Manchester United ,France,Mediocampista Defensivo Central | Mediocampista Central,27,Muy Bueno,Paul Pogba
Paris Saint-Germain ,Costa Rica,Arquero,33,Muy Bueno,Keylor Navas
Lazio ,Italy,Segundo Delantero,30,Muy Bueno,Ciro Immobile
Inter ,Denmark,Mediocampista Derecho | Mediocampista Central | Centrocampista Ofensivo Central,28,Muy Bueno,Christian Eriksen
Valencia CF ,Spain,Mediocampista Central,31,Muy Bueno,Parejo
Borussia Dortmund ,Germany,Centrocampista Ofensivo Central | Delantero Centro,31,Muy Bueno,Marco Reus
Juventus ,Poland,Arquero,30,Muy Bueno,Wojciech Szczesny
Paris Saint-Germain ,Argentina,Extremo Derecho | Extremo Izquierdo,32,Muy Bueno,Ángel Di María
Inter ,Uruguay,Defensor Central,34,Muy Bueno,Diego Godín
Borussia Dortmund ,Germany,Defensor Central,31,Muy Bueno,Mats Hummels
Napoli ,Belgium,Segundo Delantero | Delantero Centro,33,Muy Bueno,Dries Mertens
Manchester City ,Spain,Mediocampista Central | Centrocampista Ofensivo Central,34,Muy Bueno,David Silva
Tottenham Hotspur ,France,Arquero,33,Muy Bueno,Hugo Lloris
Paris Saint-Germain ,Brazil,Defensor Central,35,Muy Bueno,Thiago Silva
Borussia Dortmund ,England,Mediocampista Derecho | Mediocampista Izquierdo | Centrocampista Ofensivo Central,20,Sobresaliente,Jadon Sancho
Inter ,Slovakia,Defensor Central,25,Sobresaliente,Milan Škriniar
FC Barcelona ,Netherlands,Mediocampista Central,23,Sobresaliente,Frenkie de Jong
Manchester City ,Germany,Extremo Izquierdo,24,Sobresaliente,Leroy Sané
FC Barcelona ,France,Defensor Central,25,Sobresaliente,Clément Lenglet
Liverpool ,Scotland,Defensor Lateral Izquierdo,26,Muy Bueno,Andrew Robertson
Manchester United ,Portugal,Mediocampista Central | Centrocampista Ofensivo Central,25,Muy Bueno,Bruno Fernandes
RB Leipzig ,Germany,Segundo Delantero,24,Muy Bueno,Timo Werner
Liverpool ,Brazil,Mediocampista Defensivo Central,26,Muy Bueno,Fabinho
Leicester City ,England,Segundo Delantero,33,Muy Bueno,Jamie Vardy
Ajax ,Morocco,Centrocampista Ofensivo Central | Extremo Derecho,27,Muy Bueno,Hakim Ziyech
Paris Saint-Germain ,Brazil,Defensor Central | Mediocampista Defensivo Central,26,Sobresaliente,Marquinhos
Manchester City ,Algeria,Mediocampista Derecho | Extremo Derecho,29,Muy Bueno,Riyad Mahrez
Real Madrid ,France,Defensor Central,27,Muy Bueno,Raphaël Varane
Paris Saint-Germain ,Argentina,Segundo Delantero,27,Muy Bueno,Mauro Icardi
Napoli ,Italy,Mediocampista Izquierdo | Delantero Centro | Extremo Izquierdo,29,Muy Bueno,Lorenzo Insigne
Atlético Madrid ,Spain,Mediocampista Derecho | Mediocampista Izquierdo | Mediocampista Central,28,Muy Bueno,Koke
Inter ,Belgium,Segundo Delantero,27,Muy Bueno,Romelu Lukaku
FC Bayern München ,Spain,Mediocampista Defensivo Central | Mediocampista Central,29,Muy Bueno,Thiago
FC Barcelona ,Spain,Defensor Lateral Izquierdo,31,Muy Bueno,Jordi Alba
Juventus ,Italy,Defensor Central,33,Muy Bueno,Leonardo Bonucci
Tottenham Hotspur ,Belgium,Defensor Central,31,Muy Bueno,Toby Alderweireld
Juventus ,Bosnia & Herzegovina,Mediocampista Defensivo Central | Mediocampista Central,30,Muy Bueno,Miralem Pjanic
Paris Saint-Germain ,Uruguay,Segundo Delantero,33,Muy Bueno,Edinson Cavani
Borussia Mönchengladbach ,Switzerland,Arquero,31,Muy Bueno,Yann Sommer
Atalanta ,Argentina,Segundo Delantero | Centrocampista Ofensivo Central | Delantero Centro,32,Muy Bueno,Alejandro Gómez
Juventus ,Netherlands,Defensor Central,20,Sobresaliente,Matthijs de Ligt
Manchester City ,Spain,Mediocampista Defensivo Central | Mediocampista Central,24,Muy Bueno,Rodri
Liverpool ,England,Defensor Lateral Derecho,21,Sobresaliente,Trent Alexander-Arnold
FC Barcelona ,Brazil,Mediocampista Central,23,Sobresaliente,Arthur
Milan ,Italy,Arquero,21,Sobresaliente,Gianluigi Donnarumma
Ajax ,Cameroon,Arquero,24,Muy Bueno,André Onana
