,Team,Nationality,Position,Age,Potential,Name
0,FC Barcelona,Argentina,Segundo Delantero|Delantero Centro|Extremo Derecho,33,Sobresaliente,Lionel Messi
1,Juventus,Portugal,Segundo Delantero|Extremo Izquierdo,35,Sobresaliente,Cristiano Ronaldo
2,Paris Saint-Germain,Brazil,Centrocampista Ofensivo Central|Extremo Izquierdo,28,Sobresaliente,Neymar Jr
3,Liverpool,Netherlands,Defensor Central,29,Sobresaliente,Virgil van Dijk
4,Atlético Madrid,Slovenia,Arquero,27,Sobresaliente,Jan Oblak
5,Manchester City,Belgium,Mediocampista Central|Centrocampista Ofensivo Central,29,Sobresaliente,Kevin De Bruyne
6,FC Bayern München,Poland,Segundo Delantero,31,Sobresaliente,Robert Lewandowski
7,Real Madrid,Belgium,Segundo Delantero|Extremo Izquierdo,29,Sobresaliente,Eden Hazard
8,Liverpool,Brazil,Arquero,27,Sobresaliente,Alisson
9,Liverpool,Egypt,Segundo Delantero|Extremo Derecho,28,Sobresaliente,Mohamed Salah
10,Liverpool,Senegal,Extremo Izquierdo,28,Sobresaliente,Sadio Mané
11,FC Barcelona,Germany,Arquero,28,Sobresaliente,Marc-André ter Stegen
12,Manchester City,Argentina,Segundo Delantero,32,Sobresaliente,Sergio Agüero
13,Paris Saint-Germain,France,Segundo Delantero|Extremo Derecho|Extremo Izquierdo,21,Sobresaliente,Kylian Mbappé
14,Chelsea,France,Mediocampista Defensivo Central|Mediocampista Central,29,Muy Bueno,N'Golo Kanté
15,Tottenham Hotspur,England,Segundo Delantero,27,Sobresaliente,Harry Kane
16,FC Barcelona,France,Segundo Delantero|Delantero Centro|Extremo Izquierdo,29,Muy Bueno,Antoine Griezmann
17,Real Madrid,Germany,Mediocampista Central,30,Muy Bueno,Toni Kroos
18,Real Madrid,Croatia,Mediocampista Central,34,Muy Bueno,Luka Modric
19,FC Barcelona,Uruguay,Segundo Delantero,33,Muy Bueno,Luis Suárez
20,FC Bayern München,Germany,Arquero,34,Muy Bueno,Manuel Neuer
21,Real Madrid,Spain,Defensor Central,34,Muy Bueno,Sergio Ramos
22,Manchester City,Brazil,Arquero,26,Sobresaliente,Ederson
23,Manchester City,England,Extremo Derecho|Extremo Izquierdo,25,Sobresaliente,Raheem Sterling
24,Liverpool,Brazil,Delantero Centro,28,Muy Bueno,Roberto Firmino
25,Napoli,Senegal,Defensor Central,29,Sobresaliente,Kalidou Koulibaly
26,Real Madrid,Brazil,Mediocampista Defensivo Central,28,Muy Bueno,Casemiro
27,Manchester United,Spain,Arquero,29,Muy Bueno,De Gea
28,Real Madrid,Belgium,Arquero,28,Muy Bueno,Thibaut Courtois
29,FC Barcelona,Spain,Mediocampista Defensivo Central,32,Muy Bueno,Sergio Busquets
30,Arsenal,Gabon,Segundo Delantero|Mediocampista Izquierdo,31,Muy Bueno,Pierre-Emerick Aubameyang
31,Real Madrid,France,Segundo Delantero|Delantero Centro,32,Muy Bueno,Karim Benzema
32,Inter,Slovenia,Arquero,36,Muy Bueno,Samir Handanovic
33,FC Barcelona,Spain,Defensor Central,33,Muy Bueno,Piqué
34,Juventus,Italy,Defensor Central,35,Muy Bueno,Giorgio Chiellini
35,Manchester City,Portugal,Mediocampista Central|Centrocampista Ofensivo Central|Extremo Derecho,25,Sobresaliente,Bernardo Silva
36,FC Bayern München,Germany,Defensor Lateral Derecho|Mediocampista Defensivo Central|Mediocampista Central,25,Sobresaliente,Joshua Kimmich
37,Manchester City,France,Defensor Central,26,Sobresaliente,Aymeric Laporte
38,Juventus,Argentina,Centrocampista Ofensivo Central|Delantero Centro,26,Sobresaliente,Paulo Dybala
39,Tottenham Hotspur,Korea Republic,Mediocampista Izquierdo|Delantero Centro,28,Muy Bueno,Heung Min Son
40,Paris Saint-Germain,Italy,Mediocampista Defensivo Central|Mediocampista Central,27,Muy Bueno,Marco Verratti
41,Manchester United,France,Mediocampista Defensivo Central|Mediocampista Central,27,Muy Bueno,Paul Pogba
42,Paris Saint-Germain,Costa Rica,Arquero,33,Muy Bueno,Keylor Navas
43,Lazio,Italy,Segundo Delantero,30,Muy Bueno,Ciro Immobile
44,Inter,Denmark,Mediocampista Derecho|Mediocampista Central|Centrocampista Ofensivo Central,28,Muy Bueno,Christian Eriksen
45,Valencia CF,Spain,Mediocampista Central,31,Muy Bueno,Parejo
46,Borussia Dortmund,Germany,Centrocampista Ofensivo Central|Delantero Centro,31,Muy Bueno,Marco Reus
47,Juventus,Poland,Arquero,30,Muy Bueno,Wojciech Szczesny
48,Paris Saint-Germain,Argentina,Extremo Derecho|Extremo Izquierdo,32,Muy Bueno,Ángel Di María
49,Inter,Uruguay,Defensor Central,34,Muy Bueno,Diego Godín
50,Borussia Dortmund,Germany,Defensor Central,31,Muy Bueno,Mats Hummels
