,Ubicación,Superficie (Km²),Profundidad Máxima (M),Profundidad Media (M),Coordenadas,Nombre
0,Santa Cruz,1435,500.0,150.0,50.248-S 72.645-O,Lago Argentino
1,Santa Cruz,1166,Desconocida,Desconocida,49.624-S 72.495-O,Lago Viedma
2,Río Negro / Neuquén,540,464.0,157.0,40.854-S 71.616-O,Lago Nahuel Huapi
3,Chubut,427,39.0,20.0,45.415-S 69.198-O,Lago Musters
4,Santa Cruz,358,Desconocida,49.0,48.917-S 71.215-O,Lago Cardiel
5,Buenos Aires,156,11.0,7.0,37.129-S 62.865-O,Lago Epecuén
6,Río Negro,116,Desconocida,Desconocida,38.707-S 67.973-O,Lago Pellegrini
7,Santa Cruz,100,Desconocida,Desconocida,48.433-S 71.19-O,Lago Strobel
8,Chubut,84,Desconocida,79.0,44.921-S 71.496-O,Lago Fontana
9,Neuquén,84,Desconocida,142.0,39.774-S 71.509-O,Lago Huechulafquen
10,Neuquén,78,Desconocida,Desconocida,40.631-S 71.415-O,Lago Traful
11,Chubut,73,Desconocida,Desconocida,44.859-S 71.82-O,Lago La Plata
12,Santa Cruz,65,Desconocida,Desconocida,47.288-S 71.53-O,Lago Ghío
13,Chubut,58,287.0,149.0,42.691-S 71.862-O,Lago Menéndez
14,Neuquén,58,165.0,64.0,38.922-S 71.126-O,Lago Aluminé
15,Neuquén,53,277.0,166.0,40.163-S 71.436-O,Lago Lácar
16,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",49,Desconocida,43.0,54.412-S 67.715-O,Lago Yehuin
17,Santa Cruz,47,Desconocida,Desconocida,48.417-S 71.551-O,Lago Quiroga
18,Chubut,47,180.0,111.0,42.151-S 71.65-O,Lago Puelo
19,Santa Cruz,42,Desconocida,Desconocida,47.979-S 72.353-O,Lago Nansen
20,Santa Cruz,42,Desconocida,Desconocida,47.844-S 72.143-O,Lago Belgrano
21,Chubut,42,168.0,101.0,42.828-S 71.675-O,Lago Futalaufquen
22,Santa Cruz,41,Desconocida,31.0,47.494-S 71.832-O,Lago Posadas
23,Neuquén,40,Desconocida,Desconocida,40.676-S 71.711-O,Lago Espejo
24,Río Negro,39,218.0,111.0,41.346-S 71.548-O,Lago Mascardi
25,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",38,Desconocida,Desconocida,54.395-S 67.593-O,Lago Chepelmut
26,Santa Cruz,37,Desconocida,Desconocida,47.5-S 71.613-O,Lago Salitroso o Sucio
27,Neuquén,37,Desconocida,Desconocida,40.036-S 71.536-O,Lago Lolog
28,Santa Cruz,30,Desconocida,Desconocida,49.228-S 72.017-O,Lago Tar
29,Neuquén,29,Desconocida,69.0,39.526-S 71.448-O,Lago Tromen
30,Chubut,28,Desconocida,Desconocida,45.888-S 71.224-O,Lago Blanco
31,Neuquén,26,Desconocida,Desconocida,39.411-S 71.314-O,Lago Quillén
32,Santa Cruz,23,Desconocida,Desconocida,47.862-S 71.47-O,Lago Asador o Guitarra
33,Chubut,23,147.0,104.0,42.611-S 71.666-O,Lago Rivadavia
34,Neuquén,21,Desconocida,Desconocida,38.904-S 71.274-O,Lago Moquehue
35,Neuquén,20,Desconocida,Desconocida,40.702-S 71.66-O,Lago Correntoso
36,Chubut,20,Desconocida,Desconocida,45.594-S 68.548-O,Lago Río Chico
37,Santa Cruz,20,Desconocida,Desconocida,48.499-S 71.585-O,Lago Quiroga Chico
38,Chubut,17,148.0,92.0,42.188-S 71.507-O,Lago Epuyén
39,Río Negro,17,111.0,80.0,41.208-S 71.42-O,Lago Gutiérrez
40,Chubut,17,108.0,49.0,42.459-S 71.669-O,Lago Cholila
41,Neuquén,16,Desconocida,66.0,39.724-S 71.584-O,Lago Paimún
42,Santa Cruz,16,Desconocida,Desconocida,47.846-S 72.27-O,Lago Azara
43,Santa Cruz,14,Desconocida,Desconocida,47.956-S 72.203-O,Lago Burmeister
44,Santa Cruz,14,Desconocida,Desconocida,50.108-S 73.35-O,Lago Onelli
45,Neuquén,14,Desconocida,Desconocida,40.333-S 71.319-O,Lago Meliquina
46,Río Negro,12,Desconocida,Desconocida,41.066-S 71.541-O,Lago Perito Moreno
47,Neuquén,12,Desconocida,Desconocida,39.84-S 71.507-O,Lago Currhué
48,Neuquén,11,Desconocida,Desconocida,40.485-S 71.476-O,Lago Falkner
49,Chubut,10,Desconocida,Desconocida,44.242-S 71.502-O,Lago Pico Nº 1
50,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",10,Desconocida,Desconocida,54.689-S 65.806-O,Lago Río Bueno
51,Chubut,10,57.0,25.0,43.26-S 71.347-O,Lago Rosario
52,Santa Cruz,843,Desconocida,Desconocida,46.435-S 71.714-O,Lago Buenos Aires
53,Santa Cruz,537,Desconocida,Desconocida,48.896-S 72.698-O,Lago San Martín
54,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",533,Desconocida,81.0,54.565-S 67.89-O,Lago Fagnano
55,Santa Cruz,125,Desconocida,Desconocida,47.357-S 71.931-O,Lago Pueyrredón
56,Chubut,96,Desconocida,Desconocida,43.931-S 71.535-O,Lago General Vintter
