,Top Genre,Artist Type,Year Released,Top Year,BPM,Artist
0,Dance Pop,Duo,2009,2010,140,3OH!3
1,Dance Pop,Duo,2010,2010,138,3OH!3
2,Pop Soul,Solo,2010,2010,95,Aloe Blacc
3,Atl Hip Hop,Solo,2010,2010,93,B.o.B
4,Atl Hip Hop,Solo,2010,2010,104,B.o.B
5,Atl Hip Hop,Solo,2010,2010,82,B.o.B
6,Dance Pop,Band/Group,2010,2010,128,Black Eyed Peas
7,Dance Pop,Band/Group,2009,2010,92,Black Eyed Peas
8,Dance Pop,Solo,2010,2010,146,Bruno Mars
9,Dance Pop,Solo,2010,2010,109,Bruno Mars
10,Pop Rap,Band/Group,2011,2010,85,Cali Swag District
11,Atl Hip Hop,Solo,2010,2010,127,CeeLo Green
12,Dance Pop,Solo,2011,2010,74,Chris Brown
13,Big Room,Solo,2009,2010,130,David Guetta
14,Big Room,Solo,2009,2010,130,David Guetta
15,Dance Pop,Solo,2010,2010,150,DJ Khaled
16,Canadian Hip Hop,Solo,2010,2010,100,Drake
17,Canadian Hip Hop,Solo,2010,2010,96,Drake
18,Disco House,Duo,2010,2010,128,Duck Sauce
19,Romanian House,Solo,2010,2010,127,Edward Maya
20,Lilith,Solo,2010,2010,133,Eliza Doolittle
21,Dance Pop,Solo,2010,2010,150,Ellie Goulding
22,Detroit Hip Hop,Solo,2010,2010,87,Eminem
23,Detroit Hip Hop,Solo,2010,2010,115,Eminem
24,Dance Pop,Solo,2010,2010,129,Enrique Iglesias
25,Dance Pop,Solo,2010,2010,126,Example
26,Asian American Hip Hop,Band/Group,2010,2010,125,Far East Movement
27,Dance Pop,Solo,2010,2010,128,Flo Rida
28,Dance Pop,Solo,2010,2010,128,INNA
29,Dance Pop,Solo,2009,2010,91,Iyaz
30,Dance Pop,Solo,2010,2010,144,Jason Derulo
31,Dance Pop,Solo,2010,2010,89,Jason Derulo
32,Dance Pop,Solo,2010,2010,110,Jason Derulo
33,Dance Pop,Solo,2009,2010,132,Jay Sean
34,Dance Pop,Solo,2009,2010,126,Jay Sean
35,East Coast Hip Hop,Solo,2009,2010,140,JAY-Z
36,Neo Mellow,Solo,2009,2010,97,John Mayer
37,Neo Mellow,Solo,2009,2010,115,John Mayer
38,Canadian Pop,Solo,2010,2010,65,Justin Bieber
39,Dance Pop,Solo,2012,2010,125,Katy Perry
40,Dance Pop,Solo,2010,2010,120,Katy Perry
41,Atl Hip Hop,Solo,2011,2010,125,Kelly Rowland
42,Dance Pop,Solo,2010,2010,120,Kesha
43,Dance Pop,Solo,2010,2010,120,Kesha
44,Dance Pop,Solo,2010,2010,125,Kesha
45,Dance Pop,Solo,2010,2010,120,Kesha
46,Reggae Fusion,Solo,2009,2010,76,K'NAAN
47,Idol,Solo,2009,2010,92,Kris Allen
48,Art Pop,Solo,2009,2010,119,Lady Gaga
49,Art Pop,Solo,2009,2010,122,Lady Gaga
50,Art Pop,Solo,2009,2010,99,Lady Gaga
51,Hip Hop,Solo,2010,2010,76,Lil Wayne
52,Atl Hip Hop,Solo,2010,2010,85,Ludacris
53,Atl Hip Hop,Solo,2010,2010,144,Ludacris
54,Pop,Band/Group,2010,2010,103,Maroon 5
55,Talent Show,Solo,2011,2010,82,Matt Cardle
56,Dance Pop,Solo,2010,2010,130,Mike Posner
57,Dance Pop,Solo,2010,2010,117,Miley Cyrus
58,Modern Alternative Rock,Band/Group,2010,2010,148,Neon Trees
59,Indietronica,Band/Group,2009,2010,180,Owl City
60,Grime,Duo,2010,2010,147,Plan B
61,Barbadian Pop,Solo,2010,2010,126,Rihanna
62,Barbadian Pop,Solo,2009,2010,174,Rihanna
63,Barbadian Pop,Solo,2010,2010,100,Rihanna
64,Barbadian Pop,Solo,2010,2010,156,Rihanna
65,Barbadian Pop,Solo,2009,2010,182,Rihanna
66,Art Pop,Solo,2010,2010,117,Robyn
67,Acoustic Pop,Solo,2010,2010,119,Sara Bareilles
68,Dance Pop,Band/Group,2017,2010,177,Scouting For Girls
69,Dance Pop,Solo,2020,2010,121,Sean Kingston
70,Dutch House,Solo,2009,2010,126,Sidney Samson
71,Belgian Pop,Solo,2010,2010,120,Stromae
72,Contemporary Country,Duo,2010,2010,84,Sugarland
73,Dance Pop,Band/Group,2010,2010,125,Swedish House Mafia
74,Dance Pop,Band/Group,2010,2010,125,Swedish House Mafia
75,Dance Pop,Solo,2010,2010,120,Taio Cruz
76,Dance Pop,Solo,2010,2010,122,Taio Cruz
77,Boy Band,Band/Group,2010,2010,101,Take That
78,Pop,Solo,2010,2010,142,Taylor Swift
79,Pop,Solo,2010,2010,121,Taylor Swift
80,Pop,Solo,2011,2010,158,Taylor Swift
81,Contemporary Country,Band/Group,2010,2010,131,The Band Perry
82,Celtic Rock,Band/Group,2011,2010,174,The Script
83,Boy Band,Band/Group,2010,2010,134,The Wanted
84,EDM,Solo,2010,2010,126,Tim Berg
85,Dance Pop,Solo,2009,2010,116,Timbaland
86,Dance Pop,Solo,2009,2010,126,Timbaland
87,Dance Pop,Solo,2010,2010,91,Tinie Tempah
88,Dance Pop,Solo,2010,2010,123,Tinie Tempah
89,Dance Pop,Band/Group,2010,2010,97,Train
90,Dance Pop,Solo,2010,2010,87,Travie McCoy
91,Dance Pop,Solo,2010,2010,74,Trey Songz
92,Dance Pop,Solo,2009,2010,93,Trey Songz
93,Indie Rock,Band/Group,2010,2010,139,Two Door Cinema Club
94,Atl Hip Hop,Solo,2010,2010,120,Usher
95,Atl Hip Hop,Solo,2010,2010,130,Usher
96,Atl Hip Hop,Solo,2010,2010,96,Usher
97,Atl Hip Hop,Solo,2010,2010,131,Waka Flocka Flame
98,Australian Dance,Duo,2020,2010,125,Yolanda Be Cool
99,Dance Pop,Band/Group,2009,2010,148,Young Money
100,British Soul,Solo,2011,2011,105,Adele
101,British Soul,Solo,2011,2011,108,Adele
102,Dance Pop,Solo,2011,2011,127,Alexandra Stan
103,Canadian Pop,Solo,2011,2011,150,Avril Lavigne
104,Detroit Hip Hop,Duo,2011,2011,90,Bad Meets Evil
105,Dance Pop,Solo,2011,2011,94,Beyoncé
106,Dance Pop,Solo,2011,2011,99,Beyoncé
107,Pop,Solo,2011,2011,166,Birdy
108,Dance Pop,Band/Group,2010,2011,94,Black Eyed Peas
109,Contemporary Country,Solo,2011,2011,206,Blake Shelton
110,Eau Claire Indie,Band/Group,2011,2011,148,Bon Iver
111,Dance Pop,Solo,2011,2011,130,Britney Spears
112,Dance Pop,Solo,2011,2011,132,Britney Spears
113,Dance Pop,Solo,2010,2011,110,Bruno Mars
114,Dance Pop,Solo,2010,2011,145,Bruno Mars
115,Dance Pop,Solo,2010,2011,175,Bruno Mars
116,Dance Pop,Solo,2012,2011,128,Calvin Harris
117,Dancefloor Dnb,Duo,2011,2011,140,Chase & Status
118,Grime,Solo,2011,2011,190,Chip
119,Dance Pop,Solo,2011,2011,146,Chris Brown
120,Dance Pop,Solo,2011,2011,130,Chris Brown
121,Dance Pop,Solo,2019,2011,128,Chris Brown
122,Dance Pop,Solo,2011,2011,75,Christina Perri
123,Dance Pop,Band/Group,2011,2011,132,Cobra Starship
124,Permanent Wave,Band/Group,2011,2011,140,Coldplay
125,Permanent Wave,Band/Group,2011,2011,118,Coldplay
126,Big Room,Solo,2011,2011,130,David Guetta
127,Big Room,Solo,2010,2011,128,David Guetta
128,Hip Pop,Duo,2010,2011,168,Diddy - Dirty Money
129,Dancefloor Dnb,Solo,2012,2011,140,DJ Fresh
130,Dance Pop,Solo,2011,2011,149,DJ Khaled
131,G Funk,Solo,2011,2011,156,Dr. Dre
132,Canadian Hip Hop,Solo,2011,2011,152,Drake
133,Pop,Solo,2011,2011,85,Ed Sheeran
134,Pop,Solo,2011,2011,160,Ed Sheeran
135,Romanian House,Solo,2010,2011,127,Edward Maya
136,Dance Pop,Solo,2010,2011,126,Enrique Iglesias
137,Contemporary Country,Solo,2011,2011,104,Eric Church
138,Dance Pop,Solo,2011,2011,127,Example
139,Asian American Hip Hop,Band/Group,2010,2011,96,Far East Movement
140,Baroque Pop,Band/Group,2011,2011,107,Florence + The Machine
141,Indietronica,Band/Group,2011,2011,128,Foster The People
142,Indie Pop,Band/Group,2011,2011,113,Grouplove
143,Dance Pop,Band/Group,2011,2011,90,Gym Class Heroes
144,Dance Pop,Band/Group,2011,2011,100,Hot Chelle Rae
145,Contemporary Country,Solo,2010,2011,127,Jason Aldean
146,Dance Pop,Solo,2011,2011,92,Jason Derulo
147,Dance Pop,Solo,2011,2011,122,Jason Derulo
148,Dance Pop,Solo,2011,2011,130,Jennifer Lopez
149,Chicago Rap,Solo,2010,2011,160,Jeremih
150,Dance Pop,Solo,2011,2011,140,Jessie J
151,Chicago Rap,Solo,2010,2011,142,Kanye West
152,Dance Pop,Solo,2012,2011,126,Katy Perry
153,Dance Pop,Solo,2010,2011,124,Katy Perry
154,Dance Pop,Solo,2012,2011,152,Katy Perry
155,Atl Hip Hop,Solo,2011,2011,141,Kelly Rowland
156,Dance Pop,Solo,2010,2011,160,Keri Hilson
157,Dance Pop,Solo,2010,2011,120,Kesha
158,Dance Pop,Solo,2010,2011,120,Kesha
159,Indie Poptimism,Solo,2012,2011,153,Labrinth
160,Contemporary Country,Band/Group,2011,2011,143,Lady A
161,Art Pop,Solo,2011,2011,124,Lady Gaga
162,Art Pop,Solo,2011,2011,128,Lady Gaga
163,Hip Hop,Solo,2011,2011,79,Lil Wayne
164,Hip Hop,Solo,2011,2011,154,Lil Wayne
165,Dance Pop,Duo,2011,2011,130,LMFAO
166,Dance Pop,Duo,2011,2011,130,LMFAO
167,Chicago Rap,Solo,2011,2011,143,Lupe Fiasco
168,Art Pop,Solo,2021,2011,122,Lykke Li
169,French Shoegaze,Duo,2011,2011,105,M83
170,Hip Hop,Solo,2011,2011,163,Mac Miller
171,Pop Rap,Solo,2011,2011,104,Mann
172,Pop,Band/Group,2010,2011,128,Maroon 5
173,Dance Pop,Solo,2010,2011,81,Miguel
174,Alternative Metal,Band/Group,2011,2011,188,Nickelback
175,Dance Pop,Solo,2010,2011,127,Nicki Minaj
176,Indie Folk,Band/Group,2011,2011,82,Noah And The Whale
177,Dance Pop,Solo,2011,2011,111,Olly Murs
178,Dance Pop,Band/Group,2009,2011,95,OneRepublic
179,Dance Pop,Solo,2010,2011,122,P!nk
180,Dance Pop,Solo,2011,2011,129,Pitbull
181,Dance Pop,Solo,2011,2011,128,Pitbull
182,Grime,Solo,2021,2011,101,Professor Green
183,Alternative Rock,Band/Group,2011,2011,106,Red Hot Chili Peppers
184,Barbadian Pop,Solo,2010,2011,128,Rihanna
185,Barbadian Pop,Solo,2011,2011,128,Rihanna
186,Barbadian Pop,Solo,2010,2011,100,Rihanna
187,UK Hip Hop,Duo,2011,2011,115,Rizzle Kicks
188,Electro House,Solo,2011,2011,128,Sak Noel
189,Dance Pop,Band/Group,2011,2011,117,Selena Gomez & The Scene
190,Dance Pop,Band/Group,2011,2011,101,Selena Gomez & The Scene
191,G Funk,Solo,2011,2011,130,Snoop Dogg
192,Dance Pop,Band/Group,2011,2011,127,Swedish House Mafia
193,Dance Pop,Solo,2011,2011,128,Taio Cruz
